96935	
	(-0.003199897299,-0.00234480479)	(0.0004137644247,0.0003043749814)	(-0.0009006636155,-0.0006598729689)	(-0.003250116806,-0.002381588236)	(0.0004060773127,0.0002987920695)
	(-0.0032582468,-0.002387695482)	(0.0002946710999,0.000217225171)	(-0.003961451502,-0.002902264681)	(0.0005346437804,0.0003934782387)	(-0.00388676668,-0.002847560182)
	(0.0005771701189,0.0004245754561)	(-0.00106159909,-0.0007778726926)	(-0.003904384717,-0.002860494456)	(0.0005266777805,0.0003876155743)	(-0.003942095348,-0.002888029547)
	(0.0006258075636,0.0004602200428)	(-0.003936586344,-0.002884142721)	(0.0004203913918,0.0003098135954)	(-0.003921694886,-0.002873203809)	(0.000476735491,0.0003510590407)
	(-0.001169935412,-0.0008572483)	(-0.003978475865,-0.002914764488)	(0.0004817412044,0.0003547524321)	(-0.003873772499,-0.002838132365)	(0.0004682821138,0.0003448405321)
	(-0.00325633288,-0.002385983368)	(0.0005555063813,0.0004082577358)	(-0.003308780353,-0.002424161589)	(0.0008067017336,0.0005922953916)	(-0.003233660984,-0.002369213713)
	(0.0007314976594,0.0005371558014)	(-0.003309088765,-0.002424530844)	(0.0006482123556,0.0004762062412)	(-0.003336724128,-0.002444724589)	(0.000701729005,0.0005154294902)
	(-0.0007464802505,-0.0005469528667)	(-0.003210460395,-0.002352269349)	(0.0006773760865,0.0004974904324)	(-0.003211106524,-0.002352798712)	(0.000612975085,0.0004503118005)
	(-0.003284749791,-0.002406754245)	(0.0006018572609,0.0004422324197)	(-0.0007939825265,-0.0005817436173)	(-0.00305253926,-0.002236164293)	(0.001161520009,0.0008520542481)
	(-0.003107109762,-0.002276187532)	(0.001098909954,0.0008062184484)	(-0.003127291157,-0.002290936258)	(0.001146354103,0.0008409872695)	(-0.0003723114881,-0.0002728319156)
	(-0.003192201246,-0.002338514401)	(0.001102715514,0.0008090567992)	(-0.0031702253,-0.002322454196)	(0.001058019226,0.0007763016929)	(-0.00325498469,-0.002384538464)
	(0.001054910122,0.0007740745905)	(-0.0004700721349,-0.0003444589596)	(-0.003210609117,-0.002352074559)	(0.00101126134,0.00074207492)	(-0.003265097119,-0.002392006226)
	(0.0009842626152,0.0007223305468)	(-0.003204110345,-0.002347481134)	(0.0008277864533,0.0006076661927)	(-0.00327336453,-0.002398126992)	(0.0009192073406,0.0006746867526)
	(-0.0005582837511,-0.0004090794742)	(-0.003222417704,-0.002360787721)	(0.0009424073823,0.0006916473489)	(-0.003189783759,-0.002336926002)	(0.000890757446,0.0006537862913)
	(-0.003139672228,-0.002300552903)	(0.0005349937827,0.00039312202)	(-0.003165288358,-0.0023193868)	(0.0004751545908,0.0003493020925)	(-0.003189799268,-0.002337238514)
	(0.0005759600802,0.0004231758756)	(-0.003232873026,-0.002368848415)	(0.0005183081801,0.000380987859)	(-0.0008313562102,-0.0006091106621)	(-0.003105034192,-0.002275299971)
	(0.0004366690892,0.0003210471879)	(-0.0007589009773,-0.0005560056573)	(-0.003081782145,-0.002258192756)	(0.0004938592491,0.000362921754)	(-0.003035096955,-0.002224028371)
	(0.000455068251,0.0003344415967)	(-0.003053967164,-0.00223794356)	(0.0003873424105,0.0002848315171)	(-0.00299261225,-0.002192965731)	(0.0004037935463,0.0002968098999)
	(-0.002948928443,-0.002160974592)	(0.0003766146787,0.0002768720322)	(-0.002963320035,-0.002171639759)	(0.0002841076852,0.0002090613418)	(-0.002908480924,-0.002131383635)
	(0.0003085594382,0.0002268845512)	(-0.002886999607,-0.002115772543)	(0.0001918958714,0.0001414973379)	(-0.002932621785,-0.002149241007)	(0.0001970851478,0.0001450566335)
	(-0.002886834256,-0.00211572936)	(0.0001579488567,0.0001162631668)	(-0.00291437352,-0.002135817932)	(0.0002399315024,0.0001765730234)	(-0.000575758747,-0.0004217803221)
	(-0.002869832594,-0.002103084574)	(0.0002335307936,0.0001716576975)	(-0.002882072827,-0.002112096226)	(0.0002763249698,0.0002032871793)	(-0.002799865861,-0.002051835171)
	(0.0001227286204,9.031657686e-005)	(7.39039459e-006,5.517790241e-006)	(-0.002836327632,-0.002078664258)	(0.0001535848028,0.0001132829379)	(-0.0002732566914,-0.0002001527606)
	(-0.002806360886,-0.002056609837)	(0.0001749407512,0.0001287295744)	(-0.002839043498,-0.002080501621)	(0.0001829817142,0.000134584358)	(-0.002822725263,-0.002068706262)
	(0.0001350706789,9.949103325e-005)	(-0.002787197433,-0.002042509949)	(0.0001477942119,0.0001087728946)	(-0.003035510408,-0.002223727657)	(0.001114048848,0.0008172711701)
	(-0.002933736028,-0.002149103063)	(0.001201791304,0.0008814931593)	(-0.002954644382,-0.002164478703)	(0.001124568403,0.0008249298213)	(-0.002979158127,-0.002182400899)
	(0.001172841141,0.000860308785)	(-0.0002989089301,-0.0002190473495)	(-0.00290758107,-0.002129972099)	(0.001160326001,0.0008511007907)	(-0.00286180114,-0.002096414719)
	(0.001188141167,0.0008714547283)	(-0.002966762709,-0.002173271217)	(0.001241361477,0.0009104994915)	(-0.0002742439748,-0.0002009805376)	(-0.002925961306,-0.002143384852)
	(0.001237192103,0.0009074238457)	(-0.002920729411,-0.002139521081)	(0.00132698573,0.0009732161162)	(-0.002924874108,-0.002142562661)	(0.001291129833,0.000946942683)
	(-0.002978681863,-0.002181982431)	(0.001276647382,0.0009363567591)	(-0.002949848448,-0.002160848064)	(0.001334260621,0.0009785604382)	(-0.002984177875,-0.002185994778)
	(0.001311688588,0.0009620343666)	(-0.0002637985995,-0.0001933336609)	(-0.002828993418,-0.002072372273)	(0.001387703574,0.00101769411)	(-0.002874637653,-0.002105770728)
	(0.001348374361,0.0009888753063)	(-0.002804506716,-0.00205443699)	(0.001380267561,0.001012232741)	(-0.002903010158,-0.002126550559)	(0.001356178727,0.0009946070871)
	(-0.0002391973473,-0.0001753105385)	(-0.002848387577,-0.002086552527)	(0.001245642905,0.0009135767273)	(-0.002853902962,-0.002090582165)	(0.001276993148,0.0009365510212)
	(-0.002882228048,-0.002111327644)	(0.001285207426,0.0009425829112)	(-0.002885135827,-0.002113481331)	(0.001231514152,0.0009032435981)	(-0.0002443249665,-0.0001790556401)
	(-0.002804103824,-0.002054106539)	(0.001290997013,0.0009467921865)	(-0.002777193678,-0.002034397277)	(0.001282003634,0.0009401898109)	(-0.002766866315,-0.002026837011)
	(0.001245460164,0.0009134046532)	(-0.002827408728,-0.002071209435)	(0.001200900753,0.0008807856839)	(-0.002751841361,-0.00201582918)	(0.001272388293,0.0009331324889)
	(-0.002807086511,-0.002056294417)	(0.001259337999,0.0009235923581)	(-0.0002121928649,-0.0001555123056)	(-0.002787319101,-0.002041847674)	(0.001188223674,0.0008714780718)
	(-0.002732069662,-0.002001460635)	(0.001428703025,0.001047737072)	(-0.00268256224,-0.00196519756)	(0.001411796816,0.001035322165)	(-0.002505793554,-0.001835872488)
	(0.001449118632,0.001062667386)	(-0.002490796252,-0.001824882824)	(0.001440274457,0.001056175109)	(-0.002525076905,-0.001849999467)	(0.001457640827,0.001068925159)
	(-0.002704394152,-0.001981189512)	(0.00141998208,0.001041332015)	(-0.0002141431256,-0.0001569572747)	(-0.002810169594,-0.002058666224)	(0.001450308698,0.001063611362)
	(-0.0002411350326,-0.0001767410172)	(-0.002760859486,-0.002022547377)	(0.001436544182,0.001053497865)	(-0.0002286962283,-0.0001676239023)	(-0.002236031156,-0.001638548626)
	(0.001502882302,0.001102090682)	(-0.002784989039,-0.002040222029)	(0.001443992381,0.001058969071)	(-0.002594515653,-0.001900866158)	(0.00148195514,0.001086786729)
	(-0.002576752243,-0.001887850893)	(0.001474814806,0.00108154104)	(-0.002547530125,-0.001866447665)	(0.001466468541,0.001075408285)	(-0.002831907455,-0.002074590002)
	(0.001456670921,0.001068286526)	(-0.002879397296,-0.002109376755)	(0.001468481313,0.001076968392)	(-0.002610237365,-0.001912385707)	(0.001489226527,0.001092127537)
	(-0.002625170609,-0.001923328359)	(0.001494822156,0.001096240423)	(-0.002854762601,-0.002091332006)	(0.00146246475,0.001072545451)	(-0.0002529515128,-0.000185401952)
