96935	
	(-1.899910809e-006,-4.728875757e-006)	(2.639479975e-006,-2.716302014e-005)	(-9.17828321e-005,2.036699325e-005)	(-2.13405155e-005,5.613291603e-005)	(-6.301817366e-005,-2.81383835e-006)
	(-4.940884948e-005,5.342691055e-005)	(-4.034062821e-005,-4.903194028e-005)	(-7.351675882e-005,2.983908889e-005)	(-5.019194643e-005,-1.363378344e-005)	(-4.968424051e-005,2.539279325e-006)
	(-3.91185615e-005,-0.0001074729117)	(-0.0001520141281,2.156962458e-005)	(0.000157616987,-0.0001898148556)	(1.088491372e-005,-9.517009536e-005)	(-0.0001373680197,-2.488002502e-005)
	(-0.0001085155153,-4.541243061e-005)	(-8.006193571e-005,6.847062575e-005)	(0.0001825980479,-0.0002020419681)	(-7.36919773e-005,-7.559981253e-005)	(-0.0001141370057,5.643942687e-005)
	(-5.307070488e-006,-3.707998948e-005)	(-6.270648073e-005,-1.25150055e-005)	(0.00124674528,0.0009650987281)	(0.0009109065084,-0.00123902838)	(0.001484248432,0.0005072857405)
	(0.0004797173034,-0.001433198451)	(-3.737932667e-005,-0.0003982397784)	(0.001214271002,0.0006276904134)	(0.0006172446711,-0.001173575729)	(0.001836414433,0.0008493097555)
	(0.0008218760584,-0.001795170193)	(0.0007227085993,0.0007349739973)	(0.0007193325447,-0.0007079398754)	(0.000949413455,0.0007099739914)	(0.0007035212744,-0.0009338361402)
	(6.064606711e-005,-0.0003649289335)	(0.0009267809361,0.0009802703321)	(0.0009624980316,-0.0009023935688)	(0.0009036253881,0.0004811682995)	(0.0004347782051,-0.0008970435924)
	(-0.0002781743525,-0.0001424590962)	(-0.0001991249854,0.0002447125523)	(-0.001369592799,-0.0008530076909)	(-0.000915169991,0.001314317899)	(-0.000935022312,-0.0001360862523)
	(-0.0002048690096,0.0009442083763)	(-0.0004709775309,-0.0004020747486)	(-0.0004690945214,0.0004625940442)	(-0.0006818650103,-0.0006157605503)	(-0.0007356384173,0.0007114056346)
	(0.0002706091214,-0.0001396222541)	(-0.0006920339307,8.088703525e-006)	(-0.000108887491,0.0006684226126)	(-0.0004569481879,-2.098578509e-005)	(-7.720782422e-005,0.0004323009227)
