96935	
	(-0.0005077018682,6.468834651e-005)	(-0.005906297424,0.000724007041)	(-0.0004211176428,5.40496604e-005)	(-0.005908834626,0.0007242420478)	(-0.0004693181722,5.996380267e-005)
	(-0.0005955279275,7.291043126e-005)	(-0.005935992426,0.0007276182217)	(-0.0004755247467,6.073995185e-005)	(-0.005241264123,0.0006410757617)	(-0.0002538555099,3.192453652e-005)
	(-0.005264349027,0.0006439978727)	(-0.0002340374772,2.979921642e-005)	(-0.005201672455,0.0006362618647)	(-0.0002792312514,3.560102644e-005)	(-0.005268636839,0.0006443094294)
	(-0.0001970126278,2.57347465e-005)	(-3.083900564e-006,3.864167759e-007)	(-0.005235960125,0.0006402129173)	(-0.0001685292456,2.056827114e-005)	(-0.005273739396,0.0006451206135)
	(-0.0001497630954,1.87485974e-005)	(-0.005231060457,0.00063974861)	(-0.0002223764265,2.904283047e-005)	(-0.005502865484,0.0006734209505)	(-0.000874357267,0.0001095666685)
	(-0.005489378128,0.0006717888093)	(-0.0007916956417,9.938892856e-005)	(-0.005526864884,0.0006764447144)	(-0.0007873985602,9.886570522e-005)	(-0.0011522864,0.0001411836869)
	(-0.005566657921,0.0006813305799)	(-0.0008649316234,0.0001084284548)	(-0.005462799846,0.0006684452403)	(-0.0008761938253,0.0001097792397)	(-0.00544919532,0.0006668065082)
	(-0.0007971182416,0.0001000230224)	(-0.001227283213,0.000150379316)	(-0.005420679404,0.000663232404)	(-0.0008678534815,0.0001087125178)	(-0.00540966467,0.0006619037363)
	(-0.0007918732408,9.935032019e-005)	(-0.005376308371,0.0006577170608)	(-0.0008588703349,0.0001076191859)	(-0.00559065072,0.000684227537)	(-0.00103256616,0.0001290708569)
	(-0.005639803457,0.0006903254219)	(-0.00101929538,0.000127456331)	(-0.005538017832,0.0006777364843)	(-0.0009568300908,0.0001197365401)	(-0.005604106303,0.0006859380575)
	(-0.0009531085302,0.0001192881249)	(-0.001279611069,0.0001567720157)	(-0.005769645189,0.0007063173442)	(-0.001242173499,0.0001549109687)	(-0.005695984225,0.0006972191571)
	(-0.001180956278,0.0001473638317)	(-0.005748336553,0.0007037124295)	(-0.001152778511,0.0001439138501)	(-0.005621069476,0.0006879684696)	(-0.001109696011,0.0001385708342)
