96935	
	(-0.0006469351915,9.247051252e-005)	(0.0004439361438,0.001045269002)	(-0.0007584973537,0.0002379193468)	(0.0006012743134,0.001150086128)	(-0.0006311749065,0.0004171582125)
	(0.0008372921926,0.0009882988228)	(-0.0005404556686,0.0002736183696)	(0.0006682496823,0.0008905143864)	(0.001043316463,-0.000474178442)	(-0.0006424751295,-0.0003687413206)
	(-0.0001706063767,0.001084971468)	(-0.0008502975856,-0.0002293000102)	(3.382411739e-005,0.001307952113)	(-0.0006952776502,-0.0001212443855)	(0.0001630755474,0.00112654111)
	(0.001136077643,-0.0003963015178)	(-0.0008526237081,-5.860958833e-006)	(0.0002895651952,0.001285934378)	(-0.0007559689286,-0.0005412080043)	(-0.0003686133819,0.001220866942)
	(-0.0008227783915,0.0008150814)	(0.001257826933,0.001170336156)	(-0.0007360341615,0.0005987538755)	(0.001042286387,0.00108767908)	(0.001005036387,-0.0004971582176)
	(-0.000909810943,0.000394398082)	(0.0007772129082,0.001311786829)	(-0.001044886288,0.0005834445173)	(0.0009872523489,0.001434318768)	(0.0002001306225,0.001724430629)
	(0.002243553147,-8.507909778e-005)	(-0.0002939196194,0.001731402532)	(0.002246798964,0.0004764804746)	(-0.0002321173116,0.001337977596)	(0.001828315772,0.0004132177604)
	(0.0008081124832,-0.0006237479985)	(-0.0005885390966,0.001257631883)	(0.001736006312,0.0008291261706)	(-0.0009273394527,0.001067001113)	(0.00151510317,0.001241198194)
	(0.0009809969182,-0.0005678713753)	(-0.0007513947095,0.001635020511)	(0.002143953412,0.001021827698)	(-0.001191984105,0.001376180057)	(0.00186516548,0.001525692819)
	(-0.001215801051,0.0008201117576)	(0.001233238655,0.001565820764)	(-3.914012862e-005,-0.0004693855987)	(-0.0004575025169,0.0003484343416)	(0.0001065188222,-0.0003810102133)
	(-0.0003935796743,8.21688176e-005)	(3.189910764e-005,-0.0004357277042)	(-0.000431406701,0.0002037433243)	(0.0001763760153,-0.0002764051818)	(-0.0002537721307,-9.199950915e-005)
	(7.934871986e-005,-0.0002995780055)	(-0.0002904074952,5.121587032e-005)	(1.279958405e-005,-0.0003648778739)	(-0.0003657075903,0.0002140163722)	(0.001389379816,-0.0005229497332)
	(-0.0005029866986,-0.0005930507494)	(-0.0004868264935,0.0009316430023)	(0.001155637166,-0.0003375255657)	(-0.0004599405496,-0.0008442417653)	(-0.000788279293,0.0008873947029)
	(-0.0003121088848,-0.0005993201539)	(-0.000526505784,0.0007011322538)	(-0.0006386671292,-0.0006994784141)	(-0.0005997431691,0.001064098397)	(-3.472257642e-005,-0.0005632276497)
	(-0.0005629127112,0.0003478382879)	(-0.000215817274,-0.0008058662033)	(-0.0007602143169,0.0006028199247)	(-0.0001574253912,-0.0005723768694)	(-0.0005269381451,0.0005205545315)
	(0.00120338322,-0.0003867459268)	(-3.539482542e-005,-0.0006973265955)	(-0.00068978371,0.0003512977621)	(-0.0001388130663,-0.0003457442042)	(6.806313852e-005,-1.269587581e-005)
	(-0.0001247276609,-0.0003464955689)	(3.397658439e-005,-5.403436191e-005)	(-0.0001314522492,-0.0003391022069)	(6.531820444e-005,7.123803464e-005)	(-0.0001333316163,-0.0003593221056)
	(2.943428412e-005,-3.082993448e-005)	(-1.595257294e-006,-4.84454434e-006)	(-0.000132170773,-0.0003483382775)	(4.664745215e-005,-1.98524223e-006)	(-0.0001251146169,-0.0003681245036)
	(2.341316192e-005,-3.303783784e-005)	(-0.0001363927762,-0.0003535342499)	(4.866430321e-005,-2.014190154e-006)	(-0.000120933724,-0.00028066504)	(-0.000101593022,0.0003085730205)
	(-0.0001225681517,-0.0002740195213)	(2.581933688e-006,0.0003917827891)	(-0.0001237701698,-0.0002579969522)	(-1.812786334e-005,0.0004021391334)	(0.002167627787,-0.0008382694996)
	(-0.0001083068422,-0.0002726896001)	(-0.0001197272695,0.0003031268537)	(-0.0001202725198,-0.0002928647352)	(-8.833745366e-005,0.0003247626694)	(-0.0001279065961,-0.0002803694986)
	(3.756776128e-005,0.0003800036796)	(0.002293509344,-0.0008797633415)	(-0.0001284672541,-0.0002921772503)	(-5.868238944e-005,0.0003273076944)	(-0.0001232218658,-0.0002879266589)
	(5.062229598e-005,0.0003709619573)	(-0.0001332542241,-0.0003045210972)	(-4.880487938e-005,0.0003283497395)	(-0.0001021104658,-0.0002848966714)	(-0.0001037116302,8.294360183e-005)
	(-9.750020987e-005,-0.0002722099651)	(-0.0001084098317,8.294717897e-005)	(-0.0001104096129,-0.0002904259526)	(-0.0001434392487,0.000206536902)	(-0.0001030267196,-0.0002710775106)
	(-0.000151995296,0.0001842829867)	(0.002408589598,-0.000925974632)	(-0.0001015046644,-0.0002547147738)	(0.0002227149594,1.316303156e-005)	(-9.884027589e-005,-0.0002679763952)
	(0.0001010526695,-1.780410404e-005)	(-9.224989627e-005,-0.0002562895421)	(9.44927704e-005,-1.007773427e-005)	(-0.0001060223394,-0.0002790443998)	(-2.33873906e-005,1.395868685e-005)
	(-9.470459326e-005,-0.000266777671)	(-1.874016192e-005,2.913796702e-006)	(0.002595291879,-0.0009928584621)	(-0.0001599361541,-0.0003402959113)	(-2.569516668e-006,0.0001031561853)
	(-0.000112394558,-0.0003225776074)	(-5.764396778e-005,-5.834557125e-005)	(-0.0001111890155,-0.0002676909796)	(0.0002298053274,7.943184243e-005)	(-0.0001268478036,-0.0002682530288)
	(0.0002424620416,0.0001050865894)	(-0.0001350770281,-0.0003058069737)	(0.0001395199583,0.0002981508783)	(-0.0001467660798,-0.0002858671294)	(0.0002178676408,0.0002239075878)
	(-0.000132976467,-0.0002901989655)	(8.274283692e-005,0.0003485477615)	(0.002412250366,-0.0009219872908)	(-0.0001392580962,-0.000312864106)	(-2.851373083e-005,0.0003156562371)
	(-0.0001199163474,-0.0002705182741)	(0.0002546598601,0.0002006563993)	(0.002106185697,-0.0008127162525)	(-0.0001269165467,-0.0002786383892)	(0.0001714464573,0.0002949409465)
	(-0.0001449867357,-0.0003295695077)	(4.54234427e-005,0.0003273817084)	(-0.0001112271875,-0.0002455447582)	(0.0003439008942,0.000103980488)	(-9.830291455e-005,-0.0002394917066)
	(0.0002321491847,2.580926513e-006)	(0.002588240316,-0.0009883383811)	(-0.0001089758151,-0.0002490005727)	(0.0002853513091,4.85753841e-005)	(-9.624380827e-005,-0.0002286715391)
	(0.0002759441478,4.227998878e-005)	(-0.0001244292432,-0.0002661391002)	(0.0003715756986,0.0001603133811)	(-0.0001152208975,-0.0002582293372)	(0.0003339689917,9.789169765e-005)
	(0.002847462868,-0.001076794777)	(-0.0001196358834,-0.0002594659205)	(0.0003811538164,0.0001697520512)	(-0.0001076066848,-0.000266494105)	(0.000276572362,5.531436092e-005)
	(-0.0001130458538,-0.0002515954051)	(0.0002524088395,0.0002701815312)	(-9.504304896e-005,-0.0001878159169)	(0.0002913612294,0.0003270717044)	(-9.041106224e-005,-0.000201152562)
	(0.0003138675355,0.0001668138642)	(-0.0001136600048,-0.0002350951016)	(0.0002205729978,0.000359783717)	(-0.0001160387347,-0.0002162250315)	(0.0002034278421,0.0003889004945)
