96935	
	(-2.951592913e-006,-1.648037049e-006)	(-4.184044092e-005,-3.35967397e-005)	(-1.095747873e-005,1.161311679e-005)	(-0.005891337148,-0.0005647818445)	(-0.0008434282927,0.005898906565)
	(-0.01043030526,0.003549055056)	(0.003192430171,0.01063361683)	(-0.00635974706,0.002374811245)	(0.002180301372,0.0064501645)	(-0.008700948703,0.001069212356)
	(0.0007278876093,0.008861441599)	(0.002166378475,-0.0003913165089)	(-0.007617269405,0.004887254239)	(0.004482653233,0.007738909183)	(-0.008356030522,0.007836474428)
	(0.007589982303,0.008392134717)	(-0.0130178145,0.0005884327274)	(0.0004932803382,0.01302404139)	(0.002895267603,5.51548633e-006)	(-0.01280179975,0.003769955631)
	(0.003572065247,0.01302147311)	(-0.02037095018,-0.0004385084556)	(-0.0007866768206,0.02070256154)	(-0.01745982113,0.002058591108)	(0.001784853922,0.01754754163)
	(-0.01513829031,-0.001509427198)	(-0.001618193639,0.01532049221)	(-0.01991866551,-0.003899949901)	(-0.004193373277,0.02031627818)	(-0.01723095904,-0.004353210502)
	(-0.00451504399,0.0176384264)	(0.003117273183,0.001121507096)	(-0.02673396722,-0.00403898837)	(-0.004175392647,0.02749469584)	(-0.02317127228,0.0005241316271)
	(0.0004541682935,0.02360640206)	(-0.02707116464,0.0002288366296)	(0.0001543966245,0.0278902425)	(-0.02286068772,-0.003330100692)	(-0.003509947186,0.02320894388)
	(0.00417654517,0.001293311325)	(-0.01233361514,0.009840011974)	(0.009591710775,0.01263217734)	(-0.0156644531,0.009038487707)	(0.00866004406,0.01593263928)
	(-0.01683846955,0.006164064671)	(0.005928374238,0.01709445263)	(-0.01191978597,0.006868978395)	(0.006604043684,0.0122321203)	(0.003016626403,-0.001303330141)
	(-0.01603719053,0.01279798129)	(0.01249281212,0.01635317637)	(-0.01376730562,0.0153715025)	(0.01498992712,0.01410658573)	(-0.008724171222,0.01586703448)
	(0.01547139346,0.008989298189)	(-0.008194783773,0.01033840184)	(0.009961126134,0.008108016465)	(-0.01118577422,0.0175168971)	(0.01730445147,0.01141016624)
	(-0.01228274786,0.01312267275)	(0.01290583791,0.012565376)	(0.003630195459,-0.002373085261)	(-0.005407682212,0.01220885452)	(0.01172387048,0.005473331634)
	(-0.02932808495,-0.0105410453)	(-0.01087255571,0.03107675765)	(-0.03133534681,-3.171260594e-005)	(8.324831655e-005,0.03308068359)	(-0.03536755677,-0.006118866304)
	(-0.005823467468,0.03802964515)	(-0.03587083134,-0.0004847815971)	(0.0001662138742,0.03844150151)	(-0.03363991321,-0.01193424349)	(-0.01198027124,0.03648825575)
	(-0.03097051146,-0.004942152039)	(-0.005067510337,0.03266255464)	(0.005611232036,0.002041607455)	(-0.02007391202,-0.02367318998)	(-0.0243550137,0.02135339679)
	(0.002399951816,0.004835429697)	(-0.02684579243,-0.01576280267)	(-0.01626808692,0.02833328366)	(0.004174647075,0.003795316649)	(-0.02942138456,-0.02662942567)
	(-0.02820380946,0.03422893175)	(-0.02375344621,-0.01996181244)	(-0.02066119091,0.0252295657)	(-0.02189842061,-0.02772609691)	(-0.02892750252,0.02447892801)
	(-0.02624928634,-0.0236308435)	(-0.02454922358,0.02894174746)	(-0.03078667936,-0.01800857801)	(-0.01839968164,0.03355152152)	(-0.0161103794,-0.02648763846)
	(-0.02737073337,0.0172997231)	(-0.006727091587,-0.03023490518)	(-0.03136228839,0.007669511195)	(-0.01742639736,-0.03074354488)	(-0.03241078149,0.0195845341)
	(-0.01254453559,-0.03303098646)	(-0.03488576708,0.01456681905)	(-0.01163511487,-0.02876510715)	(-0.02971148069,0.01279181134)	(0.0005749875887,0.005291758548)
	(-0.0008693953483,0.0003278358065)	(0.0002971404305,0.0008982119787)	(-0.0007520182879,0.0005922662021)	(0.0005641774433,0.0008074296989)	(-0.0009198151323,8.857553368e-005)
	(5.703544536e-005,0.0009500746837)	(-0.0008347568879,0.001063569655)	(0.00104313139,0.00090072698)	(0.000402776214,-0.0002900487507)	(-0.001084083893,0.0007608721894)
