96935	
	(-0.003693050332,0.009045799233)	(-0.007340899801,-0.002937966242)	(-0.002808706601,0.007231492892)	(0.0009076572222,0.0004618350994)	(-0.00817186698,-0.005753506768)
	(-0.00572826617,0.008119321251)	(-0.006676220443,-0.007487387939)	(-0.007464099082,0.006555725008)	(-0.005447181755,-0.005964110511)	(-0.00578545684,0.005325214895)
	(0.0005347840107,0.0009505447359)	(-0.002366410215,-0.00788226369)	(-0.007723652402,0.002153603651)	(-3.517423204e-005,0.001206961353)	(-0.004909206312,-0.00889386794)
	(-0.008893182053,0.004804595594)	(-0.0005447429435,-0.008289752416)	(-0.008077938827,0.0003722329838)	(-0.002889633972,-0.009802834382)	(-0.009764628411,0.00272314552)
	(-0.0002483206566,-9.455163034e-005)	(-2.54589402e-005,0.0001364948985)	(-0.0003134540834,-9.361373124e-005)	(-1.482398652e-005,0.0002342229681)	(6.515004373e-005,-0.001084783793)
	(-0.0002758721693,-0.0001560802981)	(-8.713627716e-005,0.0001601326678)	(-0.0003603796949,-0.0001905914969)	(-0.0001249042297,0.0002527475426)	(-0.0004056407588,-0.000113819009)
	(-3.221279794e-005,0.0003280871624)	(-0.0004949801661,0.0004992329087)	(0.0006703478107,0.0005140639426)	(-0.0002659425162,0.0004676481203)	(0.0006630096786,0.0002900911958)
	(1.554535065e-005,-0.0009221020172)	(-0.000234004273,0.0009104642754)	(0.001086552819,0.0002561820778)	(-0.0005789825807,0.0006781017288)	(0.0008350462573,0.000586159166)
	(-0.000915148186,0.000613569739)	(0.0007319567083,0.0009037987651)	(-0.0005948087004,0.000274300132)	(0.0003839137469,0.0006093923818)	(-0.0009037663596,0.0002554068653)
	(0.0003531522261,0.0008763940949)	(-0.0007309666605,0.0004251398672)	(0.0005139102621,0.0007362577733)	(0.0001297224691,-0.0009135887431)	(-0.0004991563965,0.0001707078554)
	(0.0002839382621,0.0004842625843)	(7.646309688e-005,-0.0009542587456)	(-0.0007166134749,0.0001395539803)	(0.0002462928754,0.0007069261489)	(-0.0005429361631,1.999891712e-005)
	(0.0001193732365,0.0005037131148)	(-0.0006893271058,-0.0002736233087)	(-0.0002019234146,0.0006194148716)	(-0.000538830756,-0.0001462004069)	(-6.088907849e-005,0.0004604755539)
	(9.488651999e-005,-0.0009523012032)	(-0.0004833378608,-0.0002630550669)	(-0.0001869811208,0.0003847142263)	(-0.0007435571575,-9.838434483e-005)	(-2.138831304e-005,0.0007039680924)
