96935	
	(-0.0002495089386,-0.0004032949265)	(0.002629735207,0.004221376302)	(-0.0001831603187,-0.0002969153946)	(0.002653805358,0.004259907011)	(-0.0002100426953,-0.0003400998306)
	(0.0005080375895,0.0008154858107)	(0.002574138505,0.004132126005)	(-0.0002210752221,-0.0003576278725)	(0.002566295557,0.004119647574)	(-0.0001824062219,-0.0002955619428)
	(0.002608236379,0.004186971324)	(-0.0001608955281,-0.000261155812)	(0.000541456554,0.0008691050417)	(0.002536193074,0.004070308395)	(-0.0005432383586,-0.0008745047125)
	(0.00256329902,0.004113921721)	(-0.0004956135127,-0.0007981243424)	(0.002580914696,0.004142111798)	(-0.0005210149481,-0.0008389135524)	(0.0002472051778,0.000396870275)
	(0.002616950628,0.004200014063)	(-0.0004823252897,-0.000776888025)	(0.00259801143,0.004169703721)	(-0.000459106584,-0.0007396015803)	(0.002650263367,0.004253552083)
	(-0.0004412506589,-0.0007110349796)	(0.0003150525546,0.0005057701193)	(0.002616836274,0.004200005284)	(-0.0004231453255,-0.0006819337466)	(0.002647747142,0.004249651839)
	(-0.0003964147623,-0.0006390936189)	(0.002590474491,0.004158061792)	(-0.0003141856632,-0.0005070470243)	(0.002643652517,0.004243220045)	(-0.0003555625896,-0.0005735438123)
	(0.0003770923128,0.0006053321558)	(0.002615894387,0.00419862777)	(-0.0003791262923,-0.0006113009224)	(0.002589268661,0.004156001471)	(-0.0003535662686,-0.0005702425802)
	(0.002513043349,0.004034343723)	(-0.0001510637655,-0.0002451409851)	(0.002519086571,0.004044178352)	(-0.0001115706836,-0.0001817903072)	(0.002547561982,0.004089674091)
	(-0.0001654660352,-0.0002683379467)	(0.002564726788,0.004117321154)	(-0.0001220497835,-0.0001987291695)	(0.000567747963,0.0009112774807)	(0.002478850736,0.003979680737)
	(-0.0001028522863,-0.0001676703462)	(0.0005187325527,0.0008325754019)	(0.002473678767,0.003971251339)	(-0.0001404502965,-0.0002279842509)	(0.00244179564,0.003920165398)
	(-0.0001271268543,-0.0002065079216)	(0.002443076151,0.003922393777)	(-8.670127978e-005,-0.0001416289509)	(0.002411567834,0.003871756091)	(-0.0001084503596,-0.0001763740436)
	(0.002382564502,0.00382522873)	(-0.0001032598674,-0.0001679780652)	(0.002379704684,0.003820837017)	(-5.239738985e-005,-8.628101232e-005)	(0.002353358776,0.003778440908)
	(-7.524458847e-005,-0.0001228383156)	(0.002328951304,0.003739342449)	(-2.50842019e-005,-4.203060169e-005)	(0.002349634912,0.00377277343)	(-1.749254163e-005,-2.995868265e-005)
	(0.00232396542,0.003731683537)	(-1.241321436e-005,-2.193476362e-005)	(0.002345687834,0.003766241612)	(-4.119978074e-005,-6.800645988e-005)	(0.0003943596492,0.000632874478)
	(0.002325184801,0.003733240127)	(-4.811000702e-005,-7.89382023e-005)	(0.002337657324,0.003753240353)	(-6.610198207e-005,-0.0001079976633)	(0.002290264502,0.003677203958)
	(-1.775233898e-005,-2.981423592e-005)	(-5.133680614e-006,-8.380178736e-006)	(0.002302685098,0.003697355875)	(-2.265237487e-005,-3.821778382e-005)	(0.0001873695239,0.0003006222777)
	(0.002293080877,0.003681711051)	(-3.519282572e-005,-5.790544991e-005)	(0.002309129327,0.003707395697)	(-3.286349504e-005,-5.426183879e-005)	(0.002300024849,0.003693061666)
	(-1.846819648e-005,-3.131190577e-005)	(0.002285590581,0.003669599674)	(-2.457199401e-005,-4.08769887e-005)	(0.002520293292,0.004044873183)	(-0.0005171161648,-0.0008325631668)
	(0.002464857845,0.003955743419)	(-0.0005877712572,-0.0009458620755)	(0.002470480111,0.003964902473)	(-0.0005378529462,-0.0008657594275)	(0.002490653239,0.003997198814)
	(-0.0005627212502,-0.0009057008686)	(0.0001968463399,0.0003160333682)	(0.002444913376,0.003923798365)	(-0.0005672520768,-0.0009128994059)	(0.002417357969,0.003879524312)
	(-0.0005917346178,-0.0009521506309)	(0.002487849259,0.003992586564)	(-0.0006060258787,-0.0009751944824)	(0.0001790009965,0.0002873982951)	(0.002461439171,0.003950204911)
	(-0.0006104684141,-0.0009822849093)	(0.002445332941,0.003924292667)	(-0.0006616058036,-0.001064380657)	(0.002457753836,0.003944234558)	(-0.000641709643,-0.001032436328)
	(0.002495901378,0.004005465283)	(-0.0006250185452,-0.001005691606)	(0.002464081039,0.003954373733)	(-0.0006609369535,-0.00106333498)	(0.002495330392,0.004004520597)
	(-0.0006438476531,-0.001035925363)	(0.0001708262271,0.0002742878737)	(0.002327627081,0.003735523462)	(-0.0006999417207,-0.001125902496)	(0.00239774246,0.003847951543)
	(-0.0006780507349,-0.001090755876)	(0.002313012682,0.003712072648)	(-0.0007003689825,-0.00112656196)	(0.002416102404,0.003877409051)	(-0.0006778424505,-0.001090448625)
	(0.0001534175348,0.0002463486126)	(0.002410515918,0.003868461896)	(-0.0006279504369,-0.001010272273)	(0.002410041659,0.003867679129)	(-0.0006449336988,-0.001037544058)
	(0.002428561349,0.003897393873)	(-0.000645135415,-0.00103789507)	(0.002434552509,0.003907059601)	(-0.0006137484515,-0.0009875103498)	(0.0001588867613,0.0002551065887)
	(0.002368384911,0.003800836497)	(-0.0006594797861,-0.001060856838)	(0.002350800929,0.003772623098)	(-0.0006586060854,-0.001059428088)	(0.002353014509,0.003776182262)
	(-0.000640261245,-0.001029958957)	(0.002396182101,0.003845512098)	(-0.0006047498199,-0.0009730090419)	(0.002334534745,0.003746523468)	(-0.0006570568757,-0.00105691602)
	(0.002379800909,0.003819159567)	(-0.0006422906564,-0.001033254745)	(0.0001367312079,0.0002195438966)	(0.002369436573,0.003802599277)	(-0.0006034376133,-0.0009708637803)
	(0.00218809696,0.003511818125)	(-0.0007229217315,-0.001162796943)	(0.002159822997,0.003466446562)	(-0.0007232008889,-0.001163189045)	(0.001915685632,0.003075046459)
	(-0.0007453466356,-0.001198736662)	(0.001911212595,0.003067858652)	(-0.0007445911278,-0.001197499374)	(0.001924530413,0.003089244531)	(-0.0007452543635,-0.001198616054)
	(0.002171733574,0.003485561023)	(-0.0007234415713,-0.001163600632)	(0.0001354043298,0.0002174420922)	(0.002232859303,0.003583646931)	(-0.0007190388639,-0.001156652148)
	(0.0001533124499,0.0002461982204)	(0.00220548663,0.003539720888)	(-0.000721667623,-0.001160815184)	(0.0001450202386,0.0002328828754)	(0.001518113866,0.002437699819)
	(-0.0007654064306,-0.00123099695)	(0.002218770011,0.003561037553)	(-0.000720821392,-0.001159484759)	(0.001959512203,0.003145387609)	(-0.0007418285795,-0.001193210472)
	(0.001953226442,0.003135292279)	(-0.0007429984257,-0.001195060323)	(0.001935613242,0.003107032375)	(-0.0007447905781,-0.00119790192)	(0.002243658069,0.00360097901)
	(-0.0007175838948,-0.001154343749)	(0.002268412549,0.003640706548)	(-0.00071359081,-0.001147990495)	(0.001964483595,0.003153373445)	(-0.0007411173314,-0.001192094874)
	(0.001968649934,0.003160068822)	(-0.0007392834131,-0.001189177026)	(0.002255294746,0.003619655295)	(-0.0007156600883,-0.001151283133)	(0.0001612302651,0.0002589122106)
	(0.003086649228,0.00495425846)	(4.272480473e-005,6.468788791e-005)	(0.003056683878,0.004906174929)	(9.588088564e-006,1.157406997e-005)	(0.00311373601,0.004997722683)
	(7.678186039e-005,0.0001192809974)	(0.003058103138,0.004908328185)	(-5.621698247e-005,-9.396743734e-005)	(0.0006707209841,0.001076688186)	(0.003088545171,0.00495717487)
	(-2.509712032e-005,-4.408912268e-005)	(0.003100055198,0.004975528766)	(-7.245873143e-005,-0.0001200602149)	(0.003074568655,0.004934634014)	(-9.624121797e-005,-0.0001581779912)
	(0.003170947988,0.005089494109)	(0.0001259947431,0.0001981586869)	(0.003141904148,0.005042905752)	(0.0001006757657,0.0001575768037)	(-0.0143574589,-0.02302688056)
	(0.002212038673,0.003544062293)	(-0.01413960845,-0.02267740798)	(0.002175720559,0.003485796092)	(0.003116243762,0.005001389019)	(-0.000115493223,-0.0001891002341)
	(0.003121024908,0.005008959214)	(-0.0001649154847,-0.0002683750053)	(0.003095219225,0.004967552347)	(-0.0001856269789,-0.0003015699461)	(0.003089977648,0.004959244781)
	(-0.0001379161922,-0.0002250364263)	(0.0005884773102,0.000944690742)	(0.003042519434,0.004882756088)	(-0.0003384358855,-0.0005466213508)	(0.003025172626,0.004855010129)
	(-0.0003082215025,-0.000498137161)	(0.003066860703,0.004921861682)	(-0.0002987270675,-0.0004829508532)	(0.003001805235,0.004817468073)	(-0.0003444549987,-0.0005562307014)
	(0.0004257393404,0.0006834830423)	(0.003048519807,0.004892521828)	(-0.0002685725283,-0.0004345622108)	(0.0004824068637,0.0007744404235)	(0.003073719542,0.004932955024)
	(-0.0002512999541,-0.0004068853122)	(0.003018690447,0.004844499526)	(-0.0003624276333,-0.0005850800619)	(0.003051639009,0.004897250718)	(-0.000397624148,-0.0006415750387)
