96935	
	(0.003996861386,-0.0007095812383)	(0.0009103771755,0.001394124329)	(0.001515025878,-0.0008610077544)	(0.0004737556643,0.00271676187)	(0.002954523791,-0.0002304238582)
	(-0.0003617604457,-0.0004897662913)	(0.00139765661,0.002827473333)	(0.002977707819,-0.001310686554)	(0.001338917603,0.001858226992)	(0.001898817165,-0.001169583083)
	(0.0001921286028,0.0001242275012)	(0.0001273846132,-0.0001245039882)	(7.060798799e-005,0.0001023879099)	(9.602445642e-005,-5.527865037e-006)	(0.0001820846125,0.0002386367435)
	(0.0002855828198,-0.0001012322481)	(4.581773145e-005,0.0002071243357)	(0.0001937268537,3.996928082e-005)	(-0.0003393517885,-7.757386677e-005)	(9.275301002e-005,3.275671861e-005)
	(1.023742895e-005,-2.632193567e-005)	(-0.0003174342766,-3.996848616e-005)	(0.0001542625165,1.093064042e-005)	(-1.059701763e-006,-7.623037219e-005)	(8.509269552e-005,-2.25351597e-005)
	(-2.673393797e-005,-2.670503012e-005)	(2.329398214e-005,-7.105673399e-006)	(-4.606975536e-005,4.761705523e-005)	(5.559933861e-005,-1.730045664e-005)	(-5.972204584e-005,-1.443184525e-005)
	(2.818550885e-005,-1.238712877e-005)	(-4.367954866e-005,-1.526469479e-005)	(-5.354403326e-005,2.083315885e-005)	(-1.722199096e-005,0.0001303803904)	(-1.324196406e-005,-3.768810018e-006)
	(-4.711789988e-005,2.978770674e-005)	(-4.218398778e-005,3.527314029e-005)	(-1.571683167e-005,4.840805583e-005)	(-3.406554554e-005,8.303211992e-006)	(-3.652372078e-005,4.141308014e-005)
	(-2.345781589e-007,2.969382198e-005)	(1.092082778e-005,1.247983619e-005)	(1.548438398e-005,0.0001018449487)	(9.340554919e-005,6.481221417e-005)	(-0.0001336723239,-1.144991556e-005)
	(2.879066599e-005,6.36954972e-005)	(6.684296333e-005,2.450421009e-005)	(-8.246092945e-005,-3.495636341e-005)	(-0.0001183755798,4.738348262e-005)	(-1.026023081e-005,3.376246157e-005)
	(8.712812082e-006,4.664707257e-006)	(-2.316414443e-006,-3.131739879e-006)	(-6.453286487e-006,1.756413444e-005)	(3.756032707e-006,7.53980177e-006)	(-4.402329017e-005,-1.094681814e-007)
	(-2.825534283e-005,6.737424434e-005)	(1.203705727e-005,2.096447919e-005)	(-2.489386302e-005,4.945812146e-005)	(4.616464924e-006,3.445759732e-005)	(-1.095164112e-005,2.74092922e-005)
	(6.390883035e-006,4.261560061e-006)	(-1.365184957e-005,5.853039682e-005)	(1.89119511e-005,7.594809616e-006)	(0.007909700642,0.002485566131)	(0.0026775866,-0.007671615651)
