96935	
	(-0.0003742665287,-0.00067561758)	(-0.0006658516877,0.0004174946294)	(-0.0003146380097,-0.0002913676589)	(-0.0002827545527,0.0003679071567)	(-0.0004691976841,-0.0004555968597)
	(-0.000416929065,0.0005387608447)	(-0.0002109059562,-8.056821036e-005)	(0.0004426816627,-0.001062601732)	(-0.001032597989,-0.000401241181)	(8.084436156e-005,-0.0008628121968)
	(-0.000840149741,-4.122136763e-005)	(0.0001018372301,-0.001135113481)	(-0.001117176382,-5.087039343e-005)	(-0.000121065639,-0.000619162467)	(-0.0005751665394,0.000157615526)
	(-0.0001683686631,-0.0008360908192)	(-0.0007976213451,0.0002074706246)	(-0.000254423969,-3.499283301e-005)	(-3.547366916e-005,1.987201951e-005)	(-1.136828512e-005,1.728902679e-005)
	(-6.469767301e-006,9.917189011e-007)	(-3.009508238e-005,-8.495421242e-007)	(2.382914683e-005,8.476122899e-005)	(4.621546475e-005,2.304184332e-005)	(-2.657452033e-006,5.874094711e-005)
	(4.918808003e-005,5.53606267e-005)	(-4.571790359e-005,3.639278795e-005)	(2.590284775e-005,7.435401014e-005)	(-9.199054251e-006,4.534574143e-005)	(-5.983443909e-006,4.945646442e-005)
	(-0.0001013982701,3.366391989e-005)	(1.503708173e-005,0.0001517026271)	(-0.0002116780173,-0.0001777360284)	(-8.980423585e-005,-1.538135564e-005)	(-2.971360379e-005,0.0001378610657)
	(-4.383276463e-005,0.0001036654232)	(6.184484215e-005,8.33385372e-005)	(-0.0002250196151,-0.000203304288)	(-7.141800971e-005,6.70735898e-005)	(4.905402157e-005,0.0001153492796)
	(-3.277163247e-005,1.549815476e-006)	(-1.723933039e-005,6.157027018e-005)	(0.000994440321,-0.001152913315)	(-0.001143288556,-0.0009378314501)	(0.0005652484014,-0.001412882527)
	(-0.001357445254,-0.0005310259858)	(-0.0004166196706,4.347272615e-006)	(0.0006652098997,-0.001143342024)	(-0.001097827912,-0.0006489121682)	(0.0009205504525,-0.001734166628)
	(-0.001687978988,-0.0008872766135)	(0.0007391908458,-0.0006613996554)	(-0.0006410613839,-0.0007201568367)	(0.000729249426,-0.0008810802549)	(-0.0008579598541,-0.0007197938717)
	(-0.0003756284527,-8.872005158e-005)	(0.0009868373063,-0.0008421372729)	(-0.0008135946177,-0.000964906994)	(0.0005040103854,-0.0008510645136)	(-0.0008426442595,-0.000454313854)
	(-0.0001358711696,0.0002688288117)	(0.0002328302527,0.0002000444565)	(-0.0008798599297,0.001347031163)	(0.001290146496,0.0009476921225)	(-0.000140088575,0.0009271496198)
	(0.0009373728891,0.0002183932498)	(-0.0003968124242,0.000456501183)	(0.0004490717499,0.000472648095)	(-0.0006162138752,0.0006655228476)	(0.0006989858772,0.0007501755852)
	(-0.0001711918473,-0.000298922795)	(1.179917807e-005,0.000686391433)	(0.0006610045246,0.0001167324104)	(-1.656334044e-005,0.0004496545718)	(0.0004241108534,7.952007588e-005)
	(-0.0002439657278,0.0003422702421)	(0.0003018380415,0.0002806164921)	(-0.00022114291,-0.0002702105186)	(0.005580834475,0.008412977283)	(0.008663911243,-0.005337062862)
	(0.002715563515,0.006769095045)	(0.006782000285,-0.002585124545)	(0.0021948543,0.008653127392)	(0.008848594453,-0.002064363349)	(-9.86032095e-005,-0.001897554036)
	(-0.0002334530315,0.00717163481)	(0.007304669005,0.0003742116983)	(0.0006817092917,0.005752640869)	(0.00572539382,-0.0005107005227)	(-0.00177337582,0.005416158696)
	(0.005395449361,0.001948651719)	(0.0003041604385,-0.001031469632)	(-0.0003758802055,0.004467671226)	(0.004471412459,0.0005324507285)	(-0.001365661456,0.00381885457)
	(0.003863138843,0.001435532455)	(7.581943147e-005,0.001703035927)	(0.001777467493,2.899423605e-005)	(-0.0009849920632,0.002632758715)	(0.002707899878,0.001318516586)
	(-4.418491592e-005,-0.0006232878428)	(-0.0002379306722,0.003204270168)	(0.003284590461,0.0003912546846)	(0.0002123962884,0.002331596947)	(0.002276766553,-4.572104761e-005)
	(0.0001060089359,0.0002141455513)	(0.0001802228587,-4.702911774e-005)	(1.054112438e-005,0.0001304119761)	(8.953503413e-005,4.127638005e-005)	(3.769911468e-005,0.0003108504977)
	(0.0003071831553,5.568471466e-005)	(-6.65421145e-005,0.00021106521)	(0.0001529691828,0.0001324379322)	(-0.0002447873557,-0.0002492585481)	(6.590366007e-005,7.967709925e-005)
	(2.455222583e-005,-2.163345609e-005)	(-0.0002473138862,-0.0002046833908)	(0.0001327723734,9.355611335e-005)	(4.120295254e-005,-7.314095763e-005)	(9.001349139e-005,2.618235928e-005)
	(-9.175902804e-006,-4.291062941e-005)	(2.67874702e-005,7.190139221e-006)	(-6.414840209e-005,1.23354712e-005)	(5.986210503e-005,1.357277952e-005)	(-4.500959034e-005,-4.775600055e-005)
	(3.218755662e-005,2.844702531e-006)	(-3.120418732e-005,-3.793805286e-005)	(-5.532072882e-005,-1.16019031e-005)	(-8.528684764e-005,9.962895629e-005)	(-8.713424603e-006,-1.153378669e-005)
	(-5.746377235e-005,-4.446519425e-007)	(-5.450111111e-005,6.866552366e-006)	(-3.976592484e-005,3.233169209e-005)	(-3.289323255e-005,-1.125844326e-005)	(-5.33099388e-005,1.509940914e-005)
	(-1.642754652e-005,2.524747737e-005)	(2.188385405e-006,1.673599433e-005)	(-4.173297506e-005,9.345447876e-005)	(4.252926173e-005,0.0001044417149)	(-0.0001072647577,-8.123900033e-005)
	(-1.058967752e-005,6.891677766e-005)	(4.192534012e-005,5.711638103e-005)	(-5.081246928e-005,-7.429561624e-005)	(-0.0001262776852,-2.322138107e-005)	(-2.695337069e-005,2.352536088e-005)
	(4.93012298e-006,8.90776747e-006)	(-2.367338423e-007,-3.872467485e-006)	(-1.493839562e-005,1.184497753e-005)	(-9.4103153e-007,8.787612466e-006)	(-3.741662831e-005,-2.363350701e-005)
	(-6.077586298e-005,4.183992836e-005)	(-1.39074028e-006,2.464784314e-005)	(-4.795819517e-005,2.819132827e-005)	(-1.512347412e-005,3.186218012e-005)	(-2.404141152e-005,1.775379399e-005)
	(3.200877437e-006,7.368059367e-006)	(-4.348354005e-005,4.242381393e-005)	(1.188037259e-005,1.698840591e-005)	(0.005573205906,0.006265410132)	(0.006300784456,-0.00526856799)
	(0.01219546722,0.006586484142)	(0.006771219283,-0.01191758671)	(0.008300438164,0.004306572093)	(0.004346777216,-0.008132969003)	(0.009075786557,0.007083569904)
	(0.007266802166,-0.00879025849)	(-0.001464592575,-0.002338747366)	(0.01123113538,0.003503787137)	(0.003664307389,-0.01090901516)	(0.01404745337,0.002087624886)
	(0.002093019529,-0.0137674698)	(0.01196659027,0.01053003108)	(0.01049223806,-0.01174708648)	(-0.001642322784,-0.003124224756)	(0.01403811646,0.008154602358)
	(0.008273320142,-0.01386670683)	(0.01642952243,0.01607090736)	(0.01637573932,-0.01630650673)	(0.01605354301,0.01245528093)	(0.01257980628,-0.01579151839)
	(0.01211452464,0.01348053025)	(0.01357239055,-0.01198857453)	(0.01399027618,0.01817721154)	(0.0185179173,-0.01394573331)	(0.01183064718,0.01685510874)
	(0.01711953841,-0.0118302687)	(-0.001032616585,-0.003956258514)	(0.01833273498,0.02226980344)	(0.02278115487,-0.0188473837)	(0.0188534945,0.01713055699)
	(0.01736798213,-0.01901570045)	(0.0210743322,0.01968405869)	(0.02013947425,-0.02163102242)	(0.0163139035,0.01954511828)	(0.01982374288,-0.01637891507)
	(-0.001574050651,-0.004751075014)	(0.01810426076,0.003828557387)	(0.003985687989,-0.01791297105)	(0.01960964961,0.006690728172)	(0.006906387539,-0.01936781822)
	(0.01840890249,0.009321016286)	(0.009490042222,-0.01825047608)	(0.01567293234,0.005443814264)	(0.005635698593,-0.01550424183)	(-0.002612599462,-0.002577867047)
	(0.02244480632,0.004644216967)	(0.004815758807,-0.02228472433)	(0.0229071582,0.001547434927)	(0.001742715586,-0.02269287481)	(0.02040616473,-0.002414587354)
	(-0.00226675528,-0.02009798011)	(0.01588302093,0.000383371966)	(0.0003541886183,-0.01544370967)	(0.02293968023,-0.001509972144)	(-0.001472292754,-0.02277446143)
	(0.02044755858,0.001778900802)	(0.001897551266,-0.0202809852)	(-0.003717654943,-0.002523999871)	(0.01566772828,-0.002881871748)	(-0.002795054042,-0.01523159193)
	(0.01607000404,0.02793039152)	(0.02921587639,-0.01740789517)	(0.02331332984,0.02234508925)	(0.02319169244,-0.02483280061)	(0.02172874884,0.02834514301)
	(0.02973564721,-0.02460108752)	(0.02523045071,0.02524404362)	(0.02623676303,-0.02817355531)	(0.01751685105,0.03102189269)	(0.0328617849,-0.02030538319)
	(0.02024287296,0.02522606655)	(0.02625807429,-0.02164740418)	(-0.001937970859,-0.006050785463)	(0.002854407103,0.03206991314)	(0.0336411701,-0.003710448685)
	(0.001562706277,-0.005793494315)	(0.01159286449,0.03007185725)	(0.03143923335,-0.01269750113)	(-9.997350738e-005,-0.006173202126)	(0.006306655936,0.0377816853)
	(0.04234663555,-0.01052119636)	(0.007298356028,0.03132695794)	(0.03290049187,-0.008287616563)	(0.001708174972,0.0353904632)	(0.03831241077,-0.003655532238)
	(0.006661459548,0.03478824834)	(0.03742958385,-0.008854054707)	(0.01248414582,0.03336133756)	(0.03554783892,-0.01504545642)	(-0.001358475169,0.0321646697)
	(0.03389037332,0.000682834458)	(-0.009984127675,0.03062295743)	(0.03253273206,0.009673140232)	(-0.002839021373,0.03536084276)	(0.03851087502,0.001400557039)
	(-0.007298324384,0.0347399059)	(0.03807088468,0.006121662885)	(-0.005674773829,0.03172937657)	(0.033548959,0.005094095937)	(0.002996244747,-0.005097651959)
	(0.001698556088,-0.0009580178474)	(-0.0009195410507,-0.001662616465)	(0.001427235677,-0.001342227153)	(-0.001310326298,-0.001421908709)	(0.001862303857,-0.0005765328808)
	(-0.0005290332393,-0.001838950587)	(0.001454982196,-0.00210949776)	(-0.002086777134,-0.001450381825)	(-0.0005947958785,1.908728025e-005)	(0.001906605248,-0.001707268794)
	(-0.001682186578,-0.001893189912)	(0.002178832556,-0.00242200858)	(-0.002379449319,-0.002137985401)	(0.001700626272,-0.002800216771)	(-0.002781357276,-0.001668744782)
	(0.002049435425,0.0001702534127)	(0.0001651183648,-0.002025697945)	(0.001960634966,-0.0002354402355)	(-0.0001806560357,-0.001955298729)	(-0.01837618837,0.02361908909)
	(0.03577290165,0.00805339449)	(-0.01704384488,0.02470081227)	(0.03630361414,0.006069846812)	(0.00259114739,-0.003257378426)	(-0.00321086459,-0.002566780253)
	(0.002739769504,-0.004400381873)	(-0.004343457362,-0.002724084129)	(0.001981300183,-0.004851541088)	(-0.004817859137,-0.001949265954)	(0.001951355385,-0.003671543111)
	(-0.003635483902,-0.001920726158)	(-0.0008277034405,0.0002243399138)	(-0.002040327076,-0.008754991336)	(-0.008730452514,0.00209211304)	(-0.001816089217,-0.00712579006)
	(-0.00710680943,0.001826186078)	(-0.0002157808618,-0.008007633096)	(-0.00794576113,0.0002620139849)	(-0.003578694869,-0.007464023912)	(-0.007403156326,0.003612439658)
	(-0.0003181646737,0.001354354857)	(-0.0002830579813,-0.006543169153)	(-0.006463005464,0.0003186444013)	(-0.0007664204917,0.0008804481858)	(0.0007847682513,-0.006504699005)
	(-0.006446497827,-0.0007361905235)	(-0.003676009616,-0.008804905695)	(-0.008673856382,0.003712205492)	(-0.003591473916,-0.01184953086)	(-0.01182129512,0.003659857245)
	(-0.005365943583,-0.009948612998)	(-0.009896856258,0.00539740113)	(-0.003642649694,-0.01029797537)	(-0.01018758923,0.003744897718)	(-0.0005691002311,0.001811344504)
