96935	
	(-0.0007841202429,-0.0001062439583)	(-7.18878734e-005,0.0008018263175)	(-0.0004349483406,8.024103199e-005)	(0.000120885304,0.0004602218198)	(-0.0006654609726,0.0001065191021)
	(0.0001745556208,0.0006783242068)	(-0.0001611602749,0.000108016235)	(-0.0006133070918,-0.001017368551)	(-0.000972543281,0.0006172712076)	(-0.0006631207288,-0.0005959865998)
	(-0.0005560328404,0.0006688066353)	(-0.0008768642832,-0.0007770215528)	(-0.0007317639632,0.0008944180567)	(-0.0005857818158,-0.0002793094456)	(-0.000232543555,0.0005750049692)
	(-0.0007926912513,-0.0003730388555)	(-0.0003264874049,0.0007873144325)	(-0.0001547296513,0.0001730024728)	(-6.103187797e-006,3.622669861e-005)	(5.201116533e-006,1.780653573e-005)
	(-1.52191014e-006,4.870187807e-006)	(-1.915528407e-005,1.94270066e-005)	(8.407899351e-005,4.20457898e-005)	(5.196212589e-005,-3.01187053e-005)	(4.713613047e-005,4.19098062e-005)
	(7.204607845e-005,-1.032910536e-005)	(3.988409054e-007,6.34939183e-005)	(7.5889052e-005,2.317764524e-005)	(3.035898658e-005,4.22244327e-005)	(4.01813257e-005,2.935027655e-005)
	(-3.73862554e-005,0.0001080922664)	(0.0001316138073,7.907698081e-005)	(-0.000242014381,4.79495557e-005)	(-6.844877846e-005,6.702063256e-005)	(9.096405807e-005,0.0001059038592)
	(5.56051578e-005,0.000103657337)	(0.0001053229586,-2.685020956e-006)	(-0.0002691123119,4.169970477e-005)	(9.544048942e-006,0.0001051415353)	(0.0001241903965,2.8134978e-005)
	(-1.9264207e-005,3.213108784e-005)	(4.080032055e-005,4.924261755e-005)	(-0.0003595392369,-0.001535100875)	(-0.001488158225,0.0003876922192)	(-0.0008324955585,-0.001329396615)
	(-0.001275811874,0.0008102269955)	(-0.0002220158801,0.0003326836973)	(-0.0005470097273,-0.001252692934)	(-0.001218925757,0.0005219865241)	(-0.0008903002228,-0.001816900802)
	(-0.001769601267,0.0008755587486)	(-9.777241434e-005,-0.00102612917)	(-0.001004667117,9.615166511e-005)	(-0.0002895278154,-0.001149622012)	(-0.001134785819,0.0002814873722)
	(-0.0002771196185,0.0002450314885)	(-0.0001015791772,-0.001345193684)	(-0.001316014706,9.383390717e-005)	(-0.0003982063212,-0.0009431328093)	(-0.0009029632333,0.0004223230584)
	(0.0001261434254,0.000285939168)	(0.0003088440963,-6.445135121e-005)	(0.0005255462402,0.001525509256)	(0.001538929447,-0.0004434509344)	(0.0006400818033,0.0006950286665)
