96935	
	(-0.0001338238963,-0.0002009788145)	(-0.002220452595,-0.003334710337)	(-0.0001285658722,-0.0001930822319)	(-0.00221842602,-0.003331666795)	(-0.0001441112662,-0.0002164285471)
	(-0.00221813738,-0.00333123331)	(-0.0001218011479,-0.0001829228635)	(-0.002219436871,-0.003333184907)	(-0.0001374407779,-0.0002064107037)	(-0.0003032708836,-0.0004554569428)
	(-0.002221640537,-0.003336494406)	(-0.000122027979,-0.0001832635219)	(-0.002227458275,-0.003345231576)	(-0.0001252154175,-0.0001880504668)	(-0.002240516894,-0.003364843214)
	(-8.648653318e-005,-0.0001298868243)	(3.888046181e-006,5.839128391e-006)	(-0.002224850983,-0.003341315904)	(-0.0001012554485,-0.0001520670117)	(-0.0001441968661,-0.0002165571024)
	(-0.002228957924,-0.003347483773)	(-9.969821128e-005,-0.0001497283286)	(-0.002228771181,-0.003347203319)	(-0.0001091618428,-0.000163940958)	(-0.002235833048,-0.003357808941)
	(-9.489523242e-005,-0.00014251514)	(-0.002235615706,-0.003357482533)	(-9.820247559e-005,-0.0001474820094)	(-0.002305128002,-0.003461877183)	(1.824937536e-005,2.740719652e-005)
	(-0.002272540332,-0.003412936513)	(7.068590482e-005,0.0001061571943)	(-0.002278008125,-0.00342114813)	(4.353794371e-005,6.538596287e-005)	(-0.00228782776,-0.003435895411)
	(5.098806411e-005,7.657466987e-005)	(-0.0001484734046,-0.0002229796746)	(-0.002264025254,-0.003400148436)	(6.544102625e-005,9.828035382e-005)	(-0.002245070102,-0.003371681292)
	(8.522241636e-005,0.000127988354)	(-0.002280580287,-0.003425011043)	(7.383078918e-005,0.0001108802306)	(-0.0001341907875,-0.0002015298175)	(-0.002265790237,-0.003402799114)
	(8.317500619e-005,0.0001249135215)	(-0.002211315748,-0.003320988477)	(0.0001056756859,0.0001587053932)	(-0.0022457319,-0.003372675192)	(9.719623702e-005,0.0001459708246)
	(-0.00227848677,-0.003421866966)	(8.08079816e-005,0.000121358687)	(-0.002220895913,-0.003335376119)	(0.000100137502,0.0001503880623)	(-0.002262336204,-0.003397611794)
	(8.778362841e-005,0.0001318348222)	(-0.0001274868208,-0.0001914616957)	(-0.002012949108,-0.003023078364)	(0.0001280510483,0.0001923090614)	(-0.002142963448,-0.003218335927)
	(0.0001178328697,0.0001769632415)	(-0.00200791016,-0.003015510794)	(0.0001334076591,0.0002003537031)	(-0.002152447651,-0.003232579452)	(0.0001128235155,0.0001694401152)
	(-0.0001136538969,-0.0001706871948)	(-0.002231589727,-0.003351436256)	(0.0001042385851,0.0001565471327)	(-0.002216447335,-0.003328695175)	(0.0001109046714,0.0001665583652)
	(-0.002226285748,-0.003343470657)	(0.0001060524021,0.0001592711515)	(-0.002249887341,-0.003378915897)	(9.165039898e-005,0.0001376419985)	(-0.0001186282258,-0.0001781577196)
	(-0.002169381719,-0.003258011299)	(0.0001244257312,0.0001868645036)	(-0.002160275839,-0.003244335946)	(0.0001286906485,0.0001932696229)	(-0.002187167342,-0.003284722024)
	(0.0001229441338,0.0001846394176)	(-0.002231243651,-0.003350916512)	(9.672285441e-005,0.0001452598912)	(-0.002152673341,-0.003232918395)	(0.0001320705693,0.0001983456407)
	(-0.002201966452,-0.00330694756)	(0.0001177794521,0.000176883018)	(-0.0001013181866,-0.0001521612328)	(-0.00221623743,-0.003328379937)	(0.000102467517,0.000153887315)
	(-0.001770821587,-0.002659447476)	(0.0001399654236,0.000210202256)	(-0.001763277862,-0.002648118192)	(0.0001506768764,0.0002262888828)	(-0.001354700393,-0.002034510178)
	(0.0001644160856,0.0002469226416)	(-0.001362783308,-0.002046649225)	(0.0001684676634,0.0002530073643)	(-0.001352465853,-0.00203115431)	(0.0001590476898,0.000238860301)
	(-0.001764998475,-0.002650702237)	(0.0001461288274,0.000219458552)	(-9.923706448e-005,-0.0001490357711)	(-0.001783782617,-0.002678912553)	(0.0001206911608,0.0001812558676)
	(-0.0001133117844,-0.000170173405)	(-0.001777822254,-0.002669961188)	(0.0001331883301,0.0002000243114)	(-0.0001067254064,-0.0001602818798)	(-0.0006747228292,-0.001013309268)
	(0.0001662050631,0.0002496093558)	(-0.001780457266,-0.00267391849)	(0.0001273596842,0.00019127076)	(-0.001353264356,-0.002032353515)	(0.0001389789054,0.0002087206877)
	(-0.001359857193,-0.00204225474)	(0.0001450710735,0.0002178700007)	(-0.00135203303,-0.002030504291)	(0.0001530422402,0.0002298412232)	(-0.00178319062,-0.002678023483)
	(0.0001145723991,0.0001720666158)	(-0.001785217163,-0.002681066977)	(0.0001013140938,0.0001521550862)	(-0.001345911924,-0.002021311517)	(0.0001336384509,0.0002007003097)
	(-0.001337587888,-0.002008810351)	(0.0001273407406,0.0001912423101)	(-0.001783359851,-0.002678277638)	(0.0001080649057,0.0001622935607)	(-0.0001196481328,-0.0001796894319)
	(-0.002540766943,-0.00381576342)	(-0.0004989999834,-0.0007494059574)	(-0.002529958981,-0.003799531855)	(-0.000467755108,-0.0007024819162)	(-0.002549550924,-0.00382895534)
