96935	
	(0.0002336915541,3.345231197e-007)	(2.627107036e-005,-2.92329539e-005)	(2.87992768e-007,0.001546216584)	(0.0002308575839,-1.11230726e-005)	(2.204574202e-005,3.726382692e-005)
	(0.0002564206177,-1.42984047e-005)	(-3.35686445e-005,9.912060171e-005)	(0.000268085907,-3.864307395e-005)	(-0.0003138754929,-0.0001803994202)	(0.0002484445145,-6.012230994e-005)
	(-0.0003878712528,-0.0001206521526)	(1.469573549e-005,0.00192680808)	(0.0002553497609,-4.880528184e-005)	(-0.000343666206,-0.0001486350071)	(0.000258887441,-6.574863887e-005)
	(-0.0003859817073,-0.0001598135495)	(0.0002661021822,-2.880421312e-005)	(-0.0002472072169,-0.0001747686462)	(0.0002627317297,-3.709090847e-005)	(-0.0002981244822,-0.0001731158967)
	(2.462840361e-005,0.002121575551)	(0.000268925708,-2.637836709e-005)	(-0.0002611582533,-0.000187294645)	(0.0002582503857,-3.734965797e-005)	(-0.0003349190851,-0.0001412693402)
	(0.0002240500934,-9.166189576e-006)	(2.114929061e-005,-1.233896328e-005)	(0.0002236764201,-1.963024123e-005)	(2.762976682e-005,-5.30280243e-005)	(0.0002128968373,-2.77690148e-005)
	(-3.008063788e-005,-0.0001108449508)	(0.0002090100212,-7.029244056e-006)	(4.05098481e-005,4.102859042e-005)	(0.0002069854753,-2.621658557e-006)	(4.574831426e-005,5.120269546e-005)
	(-3.887885007e-005,0.001280564298)	(0.0002068508972,-2.290184955e-005)	(-3.54441947e-005,-0.0001065770368)	(0.0002141671867,-1.737575043e-005)	(-2.524265751e-005,-8.446366193e-005)
	(0.000207378471,-6.324673775e-006)	(3.000178341e-005,3.929351078e-006)	(-2.622456336e-005,0.001361414383)	(-7.345295456e-005,-0.0008620137691)	(-0.001073646707,8.557983264e-005)
	(0.0002169474712,-0.00051934643)	(-0.0006361986445,-0.0002148682608)	(0.0003578077844,-0.0007358777215)	(-0.0008119498212,-0.0003611037039)	(-0.0001971215632,0.0006687618577)
	(0.0005158202277,-0.0004065841918)	(-0.000419434931,-0.0004803824485)	(0.0003545139958,-0.0003190622235)	(-0.0003674185092,-0.0003386638832)	(0.0004827176552,-0.0001135711885)
	(-6.981741774e-005,-0.0004123197535)	(-0.0001587144592,0.0007611218784)	(0.0003515038891,-0.0001554573001)	(-0.0001644428859,-0.0003247134044)	(0.0003656303656,-7.025238888e-005)
	(-4.561799407e-005,-0.0002548362064)	(0.0002088581245,-3.68052416e-005)	(-8.24788237e-005,-0.0001327021513)	(0.0002764567266,-3.444890752e-005)	(1.091544752e-005,-0.0001777858955)
	(-9.098895632e-005,0.0009287906213)	(0.0002646633357,-0.0001084233758)	(-0.000126457986,-0.0002124828917)	(0.0002346174859,-8.938746998e-005)	(-0.0001270497406,-0.0002024303369)
	(0.000222426004,-1.579280522e-005)	(-8.469109625e-005,-0.0001081654342)	(0.0002335343534,-6.96006098e-006)	(-3.415351487e-005,-8.694042037e-005)	(0.000209864189,-1.918791646e-005)
	(-2.89084683e-005,-0.0001050715643)	(0.0002183755558,-1.183546407e-005)	(1.920392886e-005,-3.167159999e-005)	(-1.7473948e-005,0.001427317151)	(0.0002389678624,-1.361991989e-005)
	(-0.0001006212828,-0.0001290093796)	(-9.229433408e-006,0.00129897194)	(0.0002203649106,-2.745710297e-005)	(-0.0001502698354,-9.876983156e-005)	(0.0002151895459,-2.381336461e-005)
	(-0.0001949254611,-5.065961565e-005)	(0.0002452937982,-1.276667406e-005)	(-0.0001515595681,-8.323550252e-005)	(0.0002326134393,-1.216494286e-005)	(-0.0001793740338,1.029873032e-005)
	(0.0002272749852,-2.463179965e-005)	(-0.0001509437461,6.146055374e-005)	(0.0002428875214,-8.691853296e-006)	(-0.0001611700938,4.852499127e-005)	(0.0002323902249,-2.236929361e-005)
	(-0.0001000257526,0.0001030091964)	(0.0002377671463,-6.706617463e-007)	(-2.204995943e-005,9.292336724e-005)	(0.0002633747577,-5.147909147e-005)	(-0.0001317545686,6.805691531e-005)
	(0.0002637060798,-1.100101511e-005)	(-2.431770503e-005,7.312044372e-005)	(0.0002498573972,-5.279421461e-006)	(-6.763096992e-005,9.86697178e-005)	(1.530498651e-005,0.0009862061468)
	(0.0002438793189,7.940662726e-006)	(2.068708294e-005,7.563149019e-005)	(0.0002304074488,-2.540620444e-005)	(-4.435787912e-005,8.99541396e-005)	(0.0002790731572,-8.445124862e-006)
	(2.451587923e-006,-4.650879686e-005)	(-5.730051558e-006,4.584392821e-006)	(0.0002645497826,6.240977135e-006)	(4.441318227e-005,1.671047331e-005)	(1.375198549e-005,0.0004642736217)
	(0.0002638717624,1.267541754e-006)	(3.667484887e-005,-3.984025002e-005)	(0.0002687508638,1.317761279e-005)	(6.35602499e-005,2.473531365e-005)	(0.0002797495364,-3.22220104e-006)
	(3.560472576e-005,-2.515466292e-005)	(0.0002781707074,8.250850405e-007)	(6.138254973e-006,-5.305506546e-005)	(-0.0001602734369,-0.0005970437665)	(-0.0007631871143,0.0001748453489)
	(-0.00114903117,-0.0006355958664)	(-0.0008867566445,0.001273695788)	(-0.0004692346007,-0.000353656171)	(-0.0006028837505,0.0005937173591)	(-0.0006515640471,-0.000759461143)
	(-0.000982171839,0.0007127225887)	(-4.943955239e-005,0.0005269618289)	(-0.0008691536314,-0.0001532894651)	(-0.0004411201569,0.001029209114)	(-0.001253678788,0.0002103145242)
	(-1.030385843e-005,0.0014291442)	(-0.001140166099,-0.001398268028)	(-0.001537139615,0.001173310453)	(2.424251141e-005,0.000628465078)	(-0.00151674721,-0.0008848194081)
	(-0.00109699444,0.001650052678)	(-0.002170485608,-0.002726131658)	(-0.002979700991,0.002204039024)	(-0.002090382089,-0.001837996247)	(-0.002030810626,0.002105748838)
	(-0.001124398877,-0.002016494885)	(-0.002165037311,0.001164149437)	(-0.00145887003,-0.003241023155)	(-0.003469241391,0.001482820759)	(-0.0009445370989,-0.002810482383)
	(-0.003004656728,0.001001525504)	(-3.905119412e-005,0.0008421378165)	(-0.002746344118,-0.004658597113)	(-0.004880167737,0.002764449086)	(-0.00288665854,-0.003073713199)
	(-0.003235911058,0.002952379908)	(-0.003666387855,-0.003868748077)	(-0.004104527231,0.003763796982)	(-0.002087733291,-0.003720459902)	(-0.003880422806,0.00208029225)
	(0.0001452352076,0.001003377345)	(-0.002101346022,0.0001884613864)	(-1.992782835e-005,0.002360003059)	(-0.002666284884,-0.000312188761)	(-0.0005898564904,0.002835114986)
	(-0.002536097139,-0.001018548844)	(-0.001232738272,0.002661583825)	(-0.001722797,-0.0002807027748)	(-0.0005223449234,0.001928826401)	(8.215315542e-005,0.0002855466217)
	(-0.003156794222,0.0003798851759)	(0.0001364534381,0.003376964621)	(-0.002916901188,0.00114434894)	(0.0008994882775,0.003194147451)	(-0.001883220081,0.001623163553)
	(0.001423980976,0.002221923923)	(-0.00141562087,0.0006267788681)	(0.0003969728701,0.001605350804)	(-0.002526720284,0.001840318611)	(0.001670442682,0.00280900833)
	(-0.002399798908,0.0008097861526)	(0.0006133440892,0.002684812481)	(0.0001886033947,4.369151504e-005)	(-0.001027409716,0.001137873265)	(0.0009027262855,0.001327771816)
	(-0.00191648093,-0.006632815582)	(-0.00703919453,0.002005830169)	(-0.004685893085,-0.004805777597)	(-0.005171288539,0.004947042538)	(-0.004649142628,-0.007196313776)
	(-0.007629153244,0.004748206207)	(-0.005988324882,-0.005877240616)	(-0.006261148187,0.006216129918)	(-0.002745490687,-0.008151878943)	(-0.008614842392,0.002853938689)
	(-0.003586851657,-0.005821181179)	(-0.006230177985,0.003718777791)	(0.0004326297704,0.001375408809)	(0.003187849403,-0.006443648318)	(-0.006582845603,-0.003288227731)
	(-0.0008713600186,0.001460478302)	(-0.0001287923811,-0.007010254263)	(-0.007314431598,8.052571991e-005)	(-0.0002454373011,0.001610334416)	(0.002011902627,-0.01060082238)
	(-0.01137018167,-0.002244692076)	(0.001560003983,-0.006913304529)	(-0.007198392425,-0.001641774789)	(0.004079880634,-0.007919184432)	(-0.008276701996,-0.004195194825)
	(0.00206098191,-0.008506730886)	(-0.008928832474,-0.00212544726)	(-0.0004963450902,-0.008764760943)	(-0.009171433924,0.0005108072294)	(0.004556735045,-0.005635271627)
	(-0.005758043864,-0.00469076637)	(0.006739349976,-0.003063039692)	(-0.003106020445,-0.006867542196)	(0.005704473599,-0.006921165393)	(-0.007187892142,-0.006025352172)
	(0.007150459598,-0.005572409628)	(-0.005784465525,-0.007435207719)	(0.005800431879,-0.004512985616)	(-0.004610294821,-0.005894444547)	(-0.001317315119,0.001079603299)
	(0.0002816438702,-6.995884407e-006)	(-0.000208651982,-0.0002146788072)	(0.0002805187032,-3.737215383e-005)	(-0.0002906608692,-0.00021813323)	(0.0002773210467,1.011838821e-005)
	(-0.0001386602938,-0.0001900060631)	(0.0002891245882,-7.635102485e-005)	(-0.0003903547385,-0.000219643898)	(2.971280892e-006,0.001803564096)	(0.0003055612761,-3.608737527e-005)
	(-0.000300570336,-0.0002552040502)	(0.0003353127201,-6.885980622e-005)	(-0.0003626033409,-0.0002848701162)	(0.0003088622199,-0.0001161638523)	(-0.0004462706292,-0.0002391147348)
